,Unnamed: 0,abv,ibu,id,name,style,brewery_id,ounces,rating
0,0,0.05,,1436,Pub Beer,American Pale Lager,408,12.0,1.650825350621476
1,1,0.066,,2265,Devil's Cup,American Pale Ale (APA),177,12.0,2.4130263229967297
2,2,0.071,,2264,Rise of the Phoenix,American IPA,177,12.0,3.353112446926043
3,3,0.09,,2263,Sinister,American Double / Imperial IPA,177,12.0,1.0788265309516187
4,4,0.075,,2262,Sex and Candy,American IPA,177,12.0,2.539798725556234
5,5,0.077,,2261,Black Exodus,Oatmeal Stout,177,12.0,1.5526424767830582
6,6,0.045,,2260,Lake Street Express,American Pale Ale (APA),177,12.0,1.5917662236444845
7,7,0.065,,2259,Foreman,American Porter,177,12.0,4.337145769804909
8,8,0.055,,2258,Jade,American Pale Ale (APA),177,12.0,1.3516149977138308
9,9,0.086,,2131,Cone Crusher,American Double / Imperial IPA,177,12.0,3.140456871298667
10,10,0.072,,2099,Sophomoric Saison,Saison / Farmhouse Ale,177,12.0,1.189521251555719
11,11,0.073,,2098,Regional Ring Of Fire,Saison / Farmhouse Ale,177,12.0,2.0152882907872796
12,12,0.069,,2097,Garce Selé,Saison / Farmhouse Ale,177,12.0,4.427159695249724
13,13,0.085,,1980,Troll Destroyer,Belgian IPA,177,12.0,2.907931186503634
14,14,0.061,60.0,1979,Bitter Bitch,American Pale Ale (APA),177,12.0,3.013030915123107
15,15,0.06,,2318,Ginja Ninja,Cider,154,12.0,0.9332558435050708
16,16,0.06,,2170,Cherried Away,Cider,154,12.0,4.04145059348502
17,17,0.06,,2169,Rhubarbarian,Cider,154,12.0,1.825065049775478
18,18,0.06,,1502,BrightCider,Cider,154,12.0,4.972710144566987
19,19,0.0819999999999999,,1593,He Said Baltic-Style Porter,Baltic Porter,368,12.0,3.399500365880379
20,20,0.0819999999999999,,1592,He Said Belgian-Style Tripel,Tripel,368,12.0,4.668269475653885
21,21,0.099,92.0,1036,Lower De Boom,American Barleywine,368,8.4,0.4161347723329012
22,22,0.079,45.0,1024,Fireside Chat,Winter Warmer,368,12.0,2.4901855989728983
23,23,0.079,,976,Marooned On Hog Island,American Stout,368,12.0,2.3169942409609816
24,24,0.044,42.0,876,Bitter American,American Pale Ale (APA),368,12.0,0.49207244767438485
25,25,0.049,17.0,802,Hell or High Watermelon Wheat (2009),Fruit / Vegetable Beer,368,12.0,2.7998740340250476
26,26,0.049,17.0,801,Hell or High Watermelon Wheat (2009),Fruit / Vegetable Beer,368,12.0,0.33362462459764763
27,27,0.049,17.0,800,21st Amendment Watermelon Wheat Beer (2006),Fruit / Vegetable Beer,368,12.0,1.6931515434108118
28,28,0.07,70.0,799,21st Amendment IPA (2006),American IPA,368,12.0,4.187080872871267
29,29,0.07,70.0,797,Brew Free! or Die IPA (2008),American IPA,368,12.0,4.0154047755351865
30,30,0.07,70.0,796,Brew Free! or Die IPA (2009),American IPA,368,12.0,4.869581066148603
31,31,0.085,52.0,531,Special Edition: Allies Win The War!,English Strong Ale,368,12.0,4.272930104092463
32,32,0.0969999999999999,94.0,432,Hop Crisis,American Double / Imperial IPA,368,12.0,1.063309952622355
33,33,0.044,42.0,353,Bitter American (2011),American Pale Ale (APA),368,12.0,1.2759179945741512
34,34,0.079,45.0,321,Fireside Chat (2010),Winter Warmer,368,12.0,4.153221599461671
35,35,0.068,65.0,173,Back in Black,American Black Ale,368,12.0,4.347660010945002
36,36,0.083,35.0,11,Monk's Blood,Belgian Dark Ale,368,12.0,2.620599115945048
37,37,0.07,65.0,10,Brew Free! or Die IPA,American IPA,368,12.0,1.5823135893182505
38,38,0.049,17.0,9,Hell or High Watermelon Wheat,Fruit / Vegetable Beer,368,12.0,2.8867954292232554
39,39,0.07,82.0,2519,Bimini Twist,American IPA,67,12.0,4.1297867274923385
40,40,0.05,,2518,Beach Blonde,American Blonde Ale,67,12.0,3.417314054291551
41,41,0.059,,2517,Rod Bender Red,American Amber / Red Ale,67,12.0,0.029415871162690732
